ESPN.PREMIUM.ar, ESPN Premium Argentina
FOX.Sports.Premium.MEXICO.mx, Fox Sports Premium Mejico
Ziggo.Sport.nl, Ziggo 1 Holanda
Ziggo.Sport.2.nl, Ziggo 2 Holanda
Ziggo.Sport.3.nl, Ziggo 3 Holanda
Ziggo.Sport.4.nl, Ziggo 4 Holanda
Ziggo.Sport.5.nl, Ziggo 5 Holanda
Ziggo.Sport.6.nl, Ziggo 6 Holanda
ESPN.1.nl, ESPN Holanda
ESPN.2.nl, ESPN 2 Holanda
ESPN.3.nl, ESPN 3 Holanda
ESPN.4.nl, ESPN 4 Holanda
Digi.Sport.2.HD.ro, Digi 2 Rumania
DAZN.1.de, DAZN 1 Alemania
DAZN.2.de, DAZN 2 Alemania
ORF.SPORT.+.de, ORF Sport+ Alemania
ESPN.HDTV.(Dish).(ESPNHD).us, ESPN Usa
ESPN2.HDTV.(Dish).(ESPN2HD).us, ESPN 2 Usa
Fox.Sports.1.HDTV.(FS1HD).us, Fox Sports 1 Usa
Fox.Sports.2.HDTV.(FS2HD).us, Fox Sports 2 Usa
Sky.Sport.Austria.1.HD.de, Sky Sport Austria 1
Sky.Sport.Austria.2.HD.de, Sky Sport Austria 2
Sky.Sport.Austria.3.HD.de, Sky Sport Austria 3
Sky.Sport.Austria.4.HD.de, Sky Sport Austria 4
ORF.SPORT.+.de, ORF Sport
SPORT1+.de, Sport 1+
SPORT1.de, Sport1

